车型,风扇型号,转速(RPM),风量(CFM),噪音(dB),市占率,达标率,测试时间
VAN-标准版,Blade-A4.0,1268,640,130.9,22%,53.65,2026-06
VAN-标准版,Blade-A4.0,1268,800,129.9,8%,55.15,2026-06
VAN-标准版,Blade-A4.0,1268,1000,128.1,22%,57.85,2026-06
VAN-标准版,Blade-A4.0,1268,1280,125.2,22%,62.2,2026-06
VAN-标准版,Blade-A4.0,1268,1600,122.1,22%,66.85,2026-06
VAN-标准版,Blade-A4.0,1268,2000,120.2,22%,69.7,2026-06
VAN-标准版,Blade-A4.0,1268,2520,120.2,15%,69.7,2026-06
VAN-标准版,Blade-A4.0,1268,3200,118.9,22%,71.65,2026-06
VAN-标准版,Blade-A4.0,1268,4000,116.0,35%,76.0,2026-06
VAN-标准版,Blade-A4.0,1268,5040,112.7,15%,80.95,2026-06
VAN-标准版,Blade-A5.3,2852,320,127.7,22%,58.45,2026-06
VAN-标准版,Blade-A5.3,2852,400,129.9,15%,55.15,2026-06
VAN-标准版,Blade-A5.3,2852,504,131.8,22%,52.3,2026-06
VAN-标准版,Blade-A5.3,2852,640,133.5,15%,49.75,2026-06
VAN-标准版,Blade-A5.3,2852,800,134.0,15%,49.0,2026-06
VAN-标准版,Blade-A5.3,2852,1000,133.4,35%,49.9,2026-06
VAN-标准版,Blade-A5.3,2852,1280,130.5,35%,54.25,2026-06
VAN-标准版,Blade-A5.3,2852,1600,125.9,22%,61.15,2026-06
VAN-标准版,Blade-A5.3,2852,2000,123.7,15%,64.45,2026-06
VAN-标准版,Blade-A5.3,2852,2520,123.1,8%,65.35,2026-06
VAN-标准版,Blade-A5.3,2852,3200,120.3,15%,69.55,2026-06
VAN-标准版,Blade-A5.3,2852,4000,118.0,22%,73.0,2026-06
VAN-标准版,Blade-A5.3,2852,5040,116.9,15%,74.65,2026-06
VAN-标准版,Blade-A5.3,2852,6400,114.9,8%,77.65,2026-06
VAN-标准版,Blade-A5.3,2852,8000,111.4,8%,82.9,2026-06
VAN-标准版,Blade-A5.3,1584,200,127.0,35%,59.5,2026-06
VAN-标准版,Blade-A5.3,1584,252,129.7,15%,55.45,2026-06
VAN-标准版,Blade-A5.3,1584,320,131.2,15%,53.2,2026-06
VAN-标准版,Blade-A5.3,1584,400,132.3,15%,51.55,2026-06
VAN-标准版,Blade-A5.3,1584,504,132.0,8%,52.0,2026-06
VAN-标准版,Blade-A5.3,1584,640,129.5,35%,55.75,2026-06
VAN-标准版,Blade-A5.3,1584,800,125.6,8%,61.6,2026-06
VAN-标准版,Blade-A5.3,1584,1000,125.7,35%,61.45,2026-06
VAN-标准版,Blade-A5.3,1584,1280,123.1,22%,65.35,2026-06
VAN-标准版,Blade-A5.3,1584,1600,117.9,35%,73.15,2026-06
VAN-标准版,Blade-A5.3,1584,2000,116.2,15%,75.7,2026-06
VAN-标准版,Blade-A5.3,1584,2520,118.4,22%,72.4,2026-06
VAN-标准版,Blade-A5.3,1584,3200,115.8,8%,76.3,2026-06
VAN-标准版,Blade-A5.3,1584,4000,115.3,35%,77.05,2026-06
VAN-标准版,Blade-A5.3,1584,5040,112.5,8%,81.25,2026-06
VAN-标准版,Blade-A7.3,2852,160,138.8,35%,41.8,2026-06
VAN-标准版,Blade-A7.3,2852,200,139.9,35%,40.15,2026-06
VAN-标准版,Blade-A7.3,2852,252,139.8,8%,40.3,2026-06
VAN-标准版,Blade-A7.3,2852,320,139.4,22%,40.9,2026-06
VAN-标准版,Blade-A7.3,2852,400,136.8,8%,44.8,2026-06
VAN-标准版,Blade-A7.3,2852,504,133.8,8%,49.3,2026-06
VAN-标准版,Blade-A7.3,2852,640,130.7,8%,53.95,2026-06
VAN-标准版,Blade-A7.3,2852,800,126.8,22%,59.8,2026-06
VAN-标准版,Blade-A7.3,2852,1000,127.4,35%,58.9,2026-06
VAN-标准版,Blade-A7.3,2852,1280,125.7,22%,61.45,2026-06
VAN-标准版,Blade-A7.3,2852,1600,122.7,8%,65.95,2026-06
VAN-标准版,Blade-A7.3,2852,2000,122.1,35%,66.85,2026-06
VAN-标准版,Blade-A7.3,2852,2520,120.5,15%,69.25,2026-06
VAN-标准版,Blade-A7.3,2852,3200,119.2,15%,71.2,2026-06
VAN-标准版,Blade-A7.3,2852,4000,115.3,15%,77.05,2026-06
VAN-标准版,Blade-A7.3,2852,5040,115.8,15%,76.3,2026-06
VAN-标准版,Blade-A7.3,2220,160,135.2,35%,47.2,2026-06
VAN-标准版,Blade-A7.3,2220,200,136.4,35%,45.4,2026-06
VAN-标准版,Blade-A7.3,2220,252,136.3,35%,45.55,2026-06
VAN-标准版,Blade-A7.3,2220,320,135.9,35%,46.15,2026-06
VAN-标准版,Blade-A7.3,2220,400,133.2,35%,50.2,2026-06
VAN-标准版,Blade-A7.3,2220,504,130.9,15%,53.65,2026-06
VAN-标准版,Blade-A7.3,2220,640,128.4,22%,57.4,2026-06
VAN-标准版,Blade-A7.3,2220,800,125.2,35%,62.2,2026-06
VAN-标准版,Blade-A7.3,2220,1000,125.7,35%,61.45,2026-06
VAN-标准版,Blade-A7.3,2220,1280,123.4,8%,64.9,2026-06
VAN-标准版,Blade-A7.3,2220,1600,120.4,8%,69.4,2026-06
VAN-标准版,Blade-A7.3,2220,2000,119.0,15%,71.5,2026-06
VAN-标准版,Blade-A7.3,2220,2520,117.1,8%,74.35,2026-06
VAN-标准版,Blade-A7.3,2220,3200,117.3,15%,74.05,2026-06
VAN-标准版,Blade-A7.3,2220,4000,113.1,15%,80.35,2026-06
VAN-标准版,Blade-A7.3,2220,5040,111.5,15%,82.75,2026-06
VAN-标准版,Blade-A7.3,1584,160,131.0,15%,53.5,2026-06
VAN-标准版,Blade-A7.3,1584,200,131.9,22%,52.15,2026-06
VAN-标准版,Blade-A7.3,1584,252,132.1,15%,51.85,2026-06
VAN-标准版,Blade-A7.3,1584,320,132.0,35%,52.0,2026-06
VAN-标准版,Blade-A7.3,1584,400,130.3,22%,54.55,2026-06
VAN-标准版,Blade-A7.3,1584,504,128.9,22%,56.65,2026-06
VAN-标准版,Blade-A7.3,1584,640,126.3,22%,60.55,2026-06
VAN-标准版,Blade-A7.3,1584,800,122.5,15%,66.25,2026-06
VAN-标准版,Blade-A7.3,1584,1000,123.2,35%,65.2,2026-06
VAN-标准版,Blade-A7.3,1584,1280,121.1,15%,68.35,2026-06
VAN-标准版,Blade-A7.3,1584,1600,117.8,35%,73.3,2026-06
VAN-标准版,Blade-A7.3,1584,2000,116.6,22%,75.1,2026-06
VAN-标准版,Blade-A7.3,1584,2520,114.3,22%,78.55,2026-06
VAN-标准版,Blade-A7.3,1584,3200,114.1,8%,78.85,2026-06
VAN-标准版,Blade-A7.3,1584,4000,112.0,35%,82.0,2026-06
VAN-标准版,Blade-A7.3,1584,5040,110.8,35%,83.8,2026-06
VAN-标准版,Blade-A7.3,1268,160,128.7,22%,56.95,2026-06
VAN-标准版,Blade-A7.3,1268,200,130.1,35%,54.85,2026-06
VAN-标准版,Blade-A7.3,1268,252,130.2,35%,54.7,2026-06
VAN-标准版,Blade-A7.3,1268,320,130.3,15%,54.55,2026-06
VAN-标准版,Blade-A7.3,1268,400,128.2,35%,57.7,2026-06
VAN-标准版,Blade-A7.3,1268,504,126.2,8%,60.7,2026-06
VAN-标准版,Blade-A7.3,1268,640,123.2,15%,65.2,2026-06
VAN-标准版,Blade-A7.3,1268,800,119.1,35%,71.35,2026-06
VAN-标准版,Blade-A7.3,1268,1000,120.5,15%,69.25,2026-06
VAN-标准版,Blade-A7.3,1268,1280,119.0,35%,71.5,2026-06
VAN-标准版,Blade-A7.3,1268,1600,115.3,22%,77.05,2026-06
VAN-标准版,Blade-A7.3,1268,2000,114.7,15%,77.95,2026-06
VAN-标准版,Blade-A7.3,1268,2520,113.2,35%,80.2,2026-06
VAN-标准版,Blade-A7.3,1268,3200,112.6,15%,81.1,2026-06
VAN-标准版,Blade-A7.3,1268,4000,111.0,35%,83.5,2026-06
VAN-标准版,Blade-A7.3,1268,5040,110.7,8%,83.95,2026-06
轻型卡车-A型,Blade-A0.0,2852,640,125.8,8%,61.3,2026-06
轻型卡车-A型,Blade-A0.0,2852,800,127.3,15%,59.05,2026-06
轻型卡车-A型,Blade-A0.0,2852,1000,128.9,22%,56.65,2026-06
轻型卡车-A型,Blade-A0.0,2852,1280,129.7,8%,55.45,2026-06
轻型卡车-A型,Blade-A0.0,2852,1600,128.6,22%,57.1,2026-06
轻型卡车-A型,Blade-A0.0,2852,2000,128.1,35%,57.85,2026-06
轻型卡车-A型,Blade-A0.0,2852,2520,129.4,22%,55.9,2026-06
轻型卡车-A型,Blade-A0.0,2852,3200,128.9,8%,56.65,2026-06
轻型卡车-A型,Blade-A0.0,2852,4000,126.5,15%,60.25,2026-06
轻型卡车-A型,Blade-A0.0,2852,5040,125.4,8%,61.9,2026-06
轻型卡车-A型,Blade-A0.0,2852,6400,122.5,35%,66.25,2026-06
轻型卡车-A型,Blade-A0.0,2852,8000,120.2,15%,69.7,2026-06
轻型卡车-A型,Blade-A0.0,2852,10000,117.1,15%,74.35,2026-06
轻型卡车-A型,Blade-A0.0,2852,12800,113.3,35%,80.05,2026-06
轻型卡车-A型,Blade-A0.0,2220,400,120.6,35%,69.1,2026-06
轻型卡车-A型,Blade-A0.0,2220,504,123.6,15%,64.6,2026-06
轻型卡车-A型,Blade-A0.0,2220,640,126.7,35%,59.95,2026-06
轻型卡车-A型,Blade-A0.0,2220,800,128.6,22%,57.1,2026-06
轻型卡车-A型,Blade-A0.0,2220,1000,130.0,15%,55.0,2026-06
轻型卡车-A型,Blade-A0.0,2220,1280,130.2,35%,54.7,2026-06
轻型卡车-A型,Blade-A0.0,2220,1600,129.7,15%,55.45,2026-06
轻型卡车-A型,Blade-A0.0,2220,2000,127.8,15%,58.3,2026-06
轻型卡车-A型,Blade-A0.0,2220,2520,127.8,35%,58.3,2026-06
轻型卡车-A型,Blade-A0.0,2220,3200,127.2,15%,59.2,2026-06
轻型卡车-A型,Blade-A0.0,2220,4000,125.2,35%,62.2,2026-06
轻型卡车-A型,Blade-A0.0,2220,5040,123.3,15%,65.05,2026-06
轻型卡车-A型,Blade-A0.0,2220,6400,121.9,8%,67.15,2026-06
轻型卡车-A型,Blade-A0.0,2220,8000,119.3,8%,71.05,2026-06
轻型卡车-A型,Blade-A0.0,2220,10000,117.1,35%,74.35,2026-06
轻型卡车-A型,Blade-A0.0,2220,12800,112.8,8%,80.8,2026-06
轻型卡车-A型,Blade-A0.0,1584,400,119.5,22%,70.75,2026-06
轻型卡车-A型,Blade-A0.0,1584,504,124.4,15%,63.4,2026-06
轻型卡车-A型,Blade-A0.0,1584,640,127.9,22%,58.15,2026-06
轻型卡车-A型,Blade-A0.0,1584,800,130.0,35%,55.0,2026-06
轻型卡车-A型,Blade-A0.0,1584,1000,131.0,15%,53.5,2026-06
轻型卡车-A型,Blade-A0.0,1584,1280,131.0,35%,53.5,2026-06
轻型卡车-A型,Blade-A0.0,1584,1600,129.6,15%,55.6,2026-06
轻型卡车-A型,Blade-A0.0,1584,2000,126.9,15%,59.65,2026-06
轻型卡车-A型,Blade-A0.0,1584,2520,125.6,22%,61.6,2026-06
轻型卡车-A型,Blade-A0.0,1584,3200,125.3,22%,62.05,2026-06
轻型卡车-A型,Blade-A0.0,1584,4000,123.5,22%,64.75,2026-06
轻型卡车-A型,Blade-A0.0,1584,5040,121.3,15%,68.05,2026-06
轻型卡车-A型,Blade-A0.0,1584,6400,120.6,35%,69.1,2026-06
轻型卡车-A型,Blade-A0.0,1584,8000,115.4,35%,76.9,2026-06
轻型卡车-A型,Blade-A0.0,1268,400,121.6,35%,67.6,2026-06
轻型卡车-A型,Blade-A0.0,1268,504,126.0,8%,61.0,2026-06
轻型卡车-A型,Blade-A0.0,1268,640,129.1,35%,56.35,2026-06
轻型卡车-A型,Blade-A0.0,1268,800,131.0,15%,53.5,2026-06
轻型卡车-A型,Blade-A0.0,1268,1000,131.5,35%,52.75,2026-06
轻型卡车-A型,Blade-A0.0,1268,1280,130.8,35%,53.8,2026-06
轻型卡车-A型,Blade-A0.0,1268,1600,128.9,22%,56.65,2026-06
轻型卡车-A型,Blade-A0.0,1268,2000,125.9,15%,61.15,2026-06
轻型卡车-A型,Blade-A0.0,1268,2520,124.2,15%,63.7,2026-06
轻型卡车-A型,Blade-A0.0,1268,3200,123.8,35%,64.3,2026-06
轻型卡车-A型,Blade-A0.0,1268,4000,122.4,15%,66.4,2026-06
轻型卡车-A型,Blade-A0.0,1268,5040,119.7,22%,70.45,2026-06
轻型卡车-A型,Blade-A0.0,1268,6400,118.0,15%,73.0,2026-06
轻型卡车-A型,Blade-A2.7,2852,504,127.4,15%,58.9,2026-06
轻型卡车-A型,Blade-A2.7,2852,640,127.4,35%,58.9,2026-06
轻型卡车-A型,Blade-A2.7,2852,800,128.8,15%,56.8,2026-06
轻型卡车-A型,Blade-A2.7,2852,1000,130.1,35%,54.85,2026-06
轻型卡车-A型,Blade-A2.7,2852,1280,130.6,8%,54.1,2026-06
轻型卡车-A型,Blade-A2.7,2852,1600,130.1,15%,54.85,2026-06
轻型卡车-A型,Blade-A2.7,2852,2000,128.3,22%,57.55,2026-06
轻型卡车-A型,Blade-A2.7,2852,2520,127.1,35%,59.35,2026-06
轻型卡车-A型,Blade-A2.7,2852,3200,126.5,8%,60.25,2026-06
轻型卡车-A型,Blade-A2.7,2852,4000,124.4,8%,63.4,2026-06
轻型卡车-A型,Blade-A2.7,2852,5040,121.9,15%,67.15,2026-06
轻型卡车-A型,Blade-A2.7,2852,6400,120.5,35%,69.25,2026-06
轻型卡车-A型,Blade-A2.7,2852,8000,116.7,15%,74.95,2026-06
轻型卡车-A型,Blade-A2.7,2852,10000,113.0,15%,80.5,2026-06
轻型卡车-A型,Blade-A2.7,2852,12800,110.4,22%,84.4,2026-06
轻型卡车-A型,Blade-A2.7,1584,400,121.0,8%,68.5,2026-06
轻型卡车-A型,Blade-A2.7,1584,504,125.8,35%,61.3,2026-06
轻型卡车-A型,Blade-A2.7,1584,640,128.8,22%,56.8,2026-06
轻型卡车-A型,Blade-A2.7,1584,800,130.6,15%,54.1,2026-06
轻型卡车-A型,Blade-A2.7,1584,1000,130.8,8%,53.8,2026-06
轻型卡车-A型,Blade-A2.7,1584,1280,130.0,15%,55.0,2026-06
轻型卡车-A型,Blade-A2.7,1584,1600,128.1,22%,57.85,2026-06
轻型卡车-A型,Blade-A2.7,1584,2000,125.6,22%,61.6,2026-06
轻型卡车-A型,Blade-A2.7,1584,2520,122.9,35%,65.65,2026-06
轻型卡车-A型,Blade-A2.7,1584,3200,121.9,22%,67.15,2026-06
轻型卡车-A型,Blade-A2.7,1584,4000,121.5,8%,67.75,2026-06
轻型卡车-A型,Blade-A2.7,1584,5040,119.2,22%,71.2,2026-06
轻型卡车-A型,Blade-A2.7,1584,6400,116.7,15%,74.95,2026-06
轻型卡车-A型,Blade-A2.7,1584,8000,112.6,15%,81.1,2026-06
轻型卡车-A型,Blade-A2.7,1584,10000,108.6,22%,87.1,2026-06
轻型卡车-A型,Blade-A5.4,2852,320,124.1,35%,63.85,2026-06
轻型卡车-A型,Blade-A5.4,2852,400,126.3,8%,60.55,2026-06
轻型卡车-A型,Blade-A5.4,2852,504,129.0,15%,56.5,2026-06
轻型卡车-A型,Blade-A5.4,2852,640,131.3,8%,53.05,2026-06
轻型卡车-A型,Blade-A5.4,2852,800,133.2,22%,50.2,2026-06
轻型卡车-A型,Blade-A5.4,2852,1000,134.1,22%,48.85,2026-06
轻型卡车-A型,Blade-A5.4,2852,1280,133.2,22%,50.2,2026-06
轻型卡车-A型,Blade-A5.4,2852,1600,131.1,35%,53.35,2026-06
轻型卡车-A型,Blade-A5.4,2852,2000,127.6,8%,58.6,2026-06
轻型卡车-A型,Blade-A5.4,2852,2520,123.3,22%,65.05,2026-06
轻型卡车-A型,Blade-A5.4,2852,3200,121.4,22%,67.9,2026-06
轻型卡车-A型,Blade-A5.4,2852,4000,120.1,35%,69.85,2026-06
轻型卡车-A型,Blade-A5.4,2852,5040,116.4,8%,75.4,2026-06
轻型卡车-A型,Blade-A5.4,2220,320,126.8,35%,59.8,2026-06
轻型卡车-A型,Blade-A5.4,2220,400,129.4,22%,55.9,2026-06
轻型卡车-A型,Blade-A5.4,2220,504,131.8,8%,52.3,2026-06
轻型卡车-A型,Blade-A5.4,2220,640,133.1,15%,50.35,2026-06
轻型卡车-A型,Blade-A5.4,2220,800,132.1,22%,51.85,2026-06
轻型卡车-A型,Blade-A5.4,2220,1000,130.8,15%,53.8,2026-06
轻型卡车-A型,Blade-A5.4,2220,1280,130.6,15%,54.1,2026-06
轻型卡车-A型,Blade-A5.4,2220,1600,128.7,35%,56.95,2026-06
轻型卡车-A型,Blade-A5.4,2220,2000,124.1,35%,63.85,2026-06
轻型卡车-A型,Blade-A5.4,2220,2520,121.6,8%,67.6,2026-06
轻型卡车-A型,Blade-A5.4,2220,3200,119.7,15%,70.45,2026-06
轻型卡车-A型,Blade-A5.4,2220,4000,118.8,22%,71.8,2026-06
轻型卡车-A型,Blade-A5.4,2220,5040,117.3,35%,74.05,2026-06
轻型卡车-A型,Blade-A5.4,2220,6400,114.9,35%,77.65,2026-06
轻型卡车-A型,Blade-A5.4,1584,252,125.3,15%,62.05,2026-06
轻型卡车-A型,Blade-A5.4,1584,320,127.6,22%,58.6,2026-06
轻型卡车-A型,Blade-A5.4,1584,400,129.9,22%,55.15,2026-06
轻型卡车-A型,Blade-A5.4,1584,504,132.4,22%,51.4,2026-06
轻型卡车-A型,Blade-A5.4,1584,640,132.8,15%,50.8,2026-06
轻型卡车-A型,Blade-A5.4,1584,800,130.5,8%,54.25,2026-06
轻型卡车-A型,Blade-A5.4,1584,1000,127.1,22%,59.35,2026-06
轻型卡车-A型,Blade-A5.4,1584,1280,126.3,15%,60.55,2026-06
轻型卡车-A型,Blade-A5.4,1584,1600,124.6,8%,63.1,2026-06
轻型卡车-A型,Blade-A5.4,1584,2000,120.5,22%,69.25,2026-06
轻型卡车-A型,Blade-A5.4,1584,2520,119.1,8%,71.35,2026-06
轻型卡车-A型,Blade-A5.4,1584,3200,117.1,22%,74.35,2026-06
轻型卡车-A型,Blade-A5.4,1584,4000,117.0,15%,74.5,2026-06
轻型卡车-A型,Blade-A5.4,1584,5040,116.7,22%,74.95,2026-06
轻型卡车-A型,Blade-A5.4,1268,252,125.7,8%,61.45,2026-06
轻型卡车-A型,Blade-A5.4,1268,320,127.8,22%,58.3,2026-06
轻型卡车-A型,Blade-A5.4,1268,400,129.7,22%,55.45,2026-06
轻型卡车-A型,Blade-A5.4,1268,504,131.5,15%,52.75,2026-06
轻型卡车-A型,Blade-A5.4,1268,640,131.5,15%,52.75,2026-06
轻型卡车-A型,Blade-A5.4,1268,800,128.2,35%,57.7,2026-06
轻型卡车-A型,Blade-A5.4,1268,1000,124.0,22%,64.0,2026-06
轻型卡车-A型,Blade-A5.4,1268,1280,123.8,22%,64.3,2026-06
轻型卡车-A型,Blade-A5.4,1268,1600,122.8,35%,65.8,2026-06
轻型卡车-A型,Blade-A5.4,1268,2000,119.2,22%,71.2,2026-06
轻型卡车-A型,Blade-A5.4,1268,2520,118.3,8%,72.55,2026-06
轻型卡车-A型,Blade-A5.4,1268,3200,116.2,22%,75.7,2026-06
轻型卡车-A型,Blade-A5.4,1268,4000,115.7,15%,76.45,2026-06
轻型卡车-A型,Blade-A5.4,1268,5040,115.6,8%,76.6,2026-06
轻型卡车-A型,Blade-A7.2,2852,252,128.7,15%,56.95,2026-06
轻型卡车-A型,Blade-A7.2,2852,320,130.1,8%,54.85,2026-06
轻型卡车-A型,Blade-A7.2,2852,400,132.0,22%,52.0,2026-06
轻型卡车-A型,Blade-A7.2,2852,504,134.9,35%,47.65,2026-06
轻型卡车-A型,Blade-A7.2,2852,640,136.0,8%,46.0,2026-06
轻型卡车-A型,Blade-A7.2,2852,800,134.3,35%,48.55,2026-06
轻型卡车-A型,Blade-A7.2,2852,1000,132.5,22%,51.25,2026-06
轻型卡车-A型,Blade-A7.2,2852,1280,130.9,22%,53.65,2026-06
轻型卡车-A型,Blade-A7.2,2852,1600,128.6,15%,57.1,2026-06
轻型卡车-A型,Blade-A7.2,2852,2000,124.4,8%,63.4,2026-06
轻型卡车-A型,Blade-A7.2,2852,2520,116.8,15%,74.8,2026-06
轻型卡车-A型,Blade-A7.2,2852,3200,119.3,15%,71.05,2026-06
轻型卡车-A型,Blade-A7.2,2852,4000,118.3,35%,72.55,2026-06
轻型卡车-A型,Blade-A7.2,2852,5040,116.6,22%,75.1,2026-06
轻型卡车-A型,Blade-A7.2,2852,6400,113.3,8%,80.05,2026-06
轻型卡车-A型,Blade-A7.2,2852,8000,110.3,8%,84.55,2026-06
轻型卡车-A型,Blade-A7.2,1584,200,127.5,22%,58.75,2026-06
轻型卡车-A型,Blade-A7.2,1584,252,130.6,15%,54.1,2026-06
轻型卡车-A型,Blade-A7.2,1584,320,132.1,22%,51.85,2026-06
轻型卡车-A型,Blade-A7.2,1584,400,132.7,8%,50.95,2026-06
轻型卡车-A型,Blade-A7.2,1584,504,133.2,22%,50.2,2026-06
轻型卡车-A型,Blade-A7.2,1584,640,132.4,15%,51.4,2026-06
轻型卡车-A型,Blade-A7.2,1584,800,128.3,15%,57.55,2026-06
轻型卡车-A型,Blade-A7.2,1584,1000,122.4,8%,66.4,2026-06
轻型卡车-A型,Blade-A7.2,1584,1280,120.1,8%,69.85,2026-06
轻型卡车-A型,Blade-A7.2,1584,1600,120.2,35%,69.7,2026-06
轻型卡车-A型,Blade-A7.2,1584,2000,117.5,15%,73.75,2026-06
轻型卡车-A型,Blade-A7.2,1584,2520,111.8,15%,82.3,2026-06
轻型卡车-A型,Blade-A7.2,1584,3200,114.3,35%,78.55,2026-06
轻型卡车-A型,Blade-A7.2,1584,4000,113.3,22%,80.05,2026-06
轻型卡车-A型,Blade-A7.2,1584,5040,112.7,8%,80.95,2026-06
轻型卡车-A型,Blade-A7.2,1584,6400,111.6,22%,82.6,2026-06
轻型卡车-A型,Blade-A7.2,1584,8000,110.9,22%,83.65,2026-06
轻型卡车-A型,Blade-A9.9,2852,160,134.3,8%,48.55,2026-06
轻型卡车-A型,Blade-A9.9,2852,200,135.3,8%,47.05,2026-06
轻型卡车-A型,Blade-A9.9,2852,252,135.5,35%,46.75,2026-06
轻型卡车-A型,Blade-A9.9,2852,320,135.1,8%,47.35,2026-06
轻型卡车-A型,Blade-A9.9,2852,400,131.3,22%,53.05,2026-06
轻型卡车-A型,Blade-A9.9,2852,504,129.9,8%,55.15,2026-06
轻型卡车-A型,Blade-A9.9,2852,640,128.9,35%,56.65,2026-06
轻型卡车-A型,Blade-A9.9,2852,800,126.3,35%,60.55,2026-06
轻型卡车-A型,Blade-A9.9,2852,1000,122.7,8%,65.95,2026-06
轻型卡车-A型,Blade-A9.9,2852,1280,121.8,35%,67.3,2026-06
轻型卡车-A型,Blade-A9.9,2852,1600,120.8,35%,68.8,2026-06
轻型卡车-A型,Blade-A9.9,2852,2000,119.6,15%,70.6,2026-06
轻型卡车-A型,Blade-A9.9,2852,2520,116.8,8%,74.8,2026-06
轻型卡车-A型,Blade-A9.9,2852,3200,115.1,8%,77.35,2026-06
轻型卡车-A型,Blade-A9.9,2852,4000,114.6,8%,78.1,2026-06
轻型卡车-A型,Blade-A9.9,2852,5040,112.0,22%,82.0,2026-06
轻型卡车-A型,Blade-A9.9,2220,160,132.0,8%,52.0,2026-06
轻型卡车-A型,Blade-A9.9,2220,200,133.2,35%,50.2,2026-06
轻型卡车-A型,Blade-A9.9,2220,252,132.4,15%,51.4,2026-06
轻型卡车-A型,Blade-A9.9,2220,320,131.6,15%,52.6,2026-06
轻型卡车-A型,Blade-A9.9,2220,400,127.8,35%,58.3,2026-06
轻型卡车-A型,Blade-A9.9,2220,504,127.3,8%,59.05,2026-06
轻型卡车-A型,Blade-A9.9,2220,640,126.6,8%,60.1,2026-06
轻型卡车-A型,Blade-A9.9,2220,800,124.7,35%,62.95,2026-06
轻型卡车-A型,Blade-A9.9,2220,1000,121.6,8%,67.6,2026-06
轻型卡车-A型,Blade-A9.9,2220,1280,119.9,8%,70.15,2026-06
轻型卡车-A型,Blade-A9.9,2220,1600,119.5,35%,70.75,2026-06
轻型卡车-A型,Blade-A9.9,2220,2000,118.4,8%,72.4,2026-06
轻型卡车-A型,Blade-A9.9,2220,2520,115.1,22%,77.35,2026-06
轻型卡车-A型,Blade-A9.9,2220,3200,112.9,22%,80.65,2026-06
轻型卡车-A型,Blade-A9.9,2220,4000,112.1,15%,81.85,2026-06
轻型卡车-A型,Blade-A9.9,2220,5040,110.6,22%,84.1,2026-06
轻型卡车-A型,Blade-A9.9,1584,160,127.3,8%,59.05,2026-06
轻型卡车-A型,Blade-A9.9,1584,200,128.3,22%,57.55,2026-06
轻型卡车-A型,Blade-A9.9,1584,252,128.6,15%,57.1,2026-06
轻型卡车-A型,Blade-A9.9,1584,320,128.3,22%,57.55,2026-06
轻型卡车-A型,Blade-A9.9,1584,400,126.8,8%,59.8,2026-06
轻型卡车-A型,Blade-A9.9,1584,504,126.5,15%,60.25,2026-06
轻型卡车-A型,Blade-A9.9,1584,640,126.3,22%,60.55,2026-06
轻型卡车-A型,Blade-A9.9,1584,800,123.8,15%,64.3,2026-06
轻型卡车-A型,Blade-A9.9,1584,1000,120.6,35%,69.1,2026-06
轻型卡车-A型,Blade-A9.9,1584,1280,118.5,22%,72.25,2026-06
轻型卡车-A型,Blade-A9.9,1584,1600,117.9,35%,73.15,2026-06
轻型卡车-A型,Blade-A9.9,1584,2000,116.3,35%,75.55,2026-06
轻型卡车-A型,Blade-A9.9,1584,2520,113.5,15%,79.75,2026-06
轻型卡车-A型,Blade-A9.9,1584,3200,112.3,15%,81.55,2026-06
轻型卡车-A型,Blade-A9.9,1584,4000,111.1,22%,83.35,2026-06
轻型卡车-A型,Blade-A9.9,1584,5040,109.9,15%,85.15,2026-06
轻型卡车-A型,Blade-A9.9,1268,160,127.3,15%,59.05,2026-06
轻型卡车-A型,Blade-A9.9,1268,200,128.6,8%,57.1,2026-06
轻型卡车-A型,Blade-A9.9,1268,252,128.8,15%,56.8,2026-06
轻型卡车-A型,Blade-A9.9,1268,320,128.9,8%,56.65,2026-06
轻型卡车-A型,Blade-A9.9,1268,400,127.2,8%,59.2,2026-06
轻型卡车-A型,Blade-A9.9,1268,504,126.0,35%,61.0,2026-06
轻型卡车-A型,Blade-A9.9,1268,640,125.5,35%,61.75,2026-06
轻型卡车-A型,Blade-A9.9,1268,800,122.1,8%,66.85,2026-06
轻型卡车-A型,Blade-A9.9,1268,1000,118.6,22%,72.1,2026-06
轻型卡车-A型,Blade-A9.9,1268,1280,117.1,15%,74.35,2026-06
轻型卡车-A型,Blade-A9.9,1268,1600,116.9,15%,74.65,2026-06
轻型卡车-A型,Blade-A9.9,1268,2000,114.7,35%,77.95,2026-06
轻型卡车-A型,Blade-A9.9,1268,2520,112.2,15%,81.7,2026-06
轻型卡车-A型,Blade-A9.9,1268,3200,111.5,15%,82.75,2026-06
轻型卡车-A型,Blade-A9.9,1268,4000,109.9,35%,85.15,2026-06
轻型卡车-A型,Blade-A9.9,1268,5040,108.7,22%,86.95,2026-06
轻型卡车-A型,Blade-A12.6,2852,160,128.4,35%,57.4,2026-06
轻型卡车-A型,Blade-A12.6,2852,200,129.7,35%,55.45,2026-06
轻型卡车-A型,Blade-A12.6,2852,252,128.5,35%,57.25,2026-06
轻型卡车-A型,Blade-A12.6,2852,320,127.1,15%,59.35,2026-06
轻型卡车-A型,Blade-A12.6,2852,400,121.7,35%,67.45,2026-06
